name,x,y
pn26,40549,6149
pn27,40581,6188
po60,40768,6449
ccp43,41331,14247
ccp44,41466,13783
ccp42,41481,14094
pn17,41846,13886
po41,41923,12548
ccp41,41946,13693
pn25,42096,5137
ccp45,42116,12653
po37,42149,14637
pn18,42170,12275
pn20,42217,12315
pn19,42277,12255
po39,42398,12913
ccp69,42441,5156
po40,42505,13057
po38,42534,13415
pn31,42536,2140
pn29,42680,2157
pn30,42790,2116
pn28,42828,2171
po61,42841,2324
ccp38,43301,16082
po36,43731,15816
po34,43761,16035
po59,43815,4451
po35,43945,15829
ccp39,44033,16354
ccp37,44136,15958
ccp40,44238,16028
po42,44344,11699
pn22,44687,7197
po58,44970,4310
ccp68,45363,4702
po63,45519,1587
po53,45553,7834
po52,45613,7911
ccp60,45631,6430
ccp55,45633,9098
ccp59,45658,7260
po62,45698,1428
po51,46046,7800
ccp56,46131,8402
pn33,46297,-141
pn32,46343,-121
ccp58,46616,7735
ccp54,46859,9132
ccp61,46912,6605
ccp57,46948,8190
po54,46995,6440
po50,47006,9318
po49,47070,9390
ccp53,47143,9092
ccp52,47290,9398
ccp73,47318,-238
po48,47331,9607
ccp49,47471,10676
po67,47479,96
pn24,47495,4926
po55,47543,6172
po66,47575,-127
po56,47575,5945
ccp46,47724,12222
ccp63,47813,5369
ccp62,47935,5438
po47,48016,9859
po46,48091,9867
ccp72,48105,-303
po45,48120,10948
ccp71,48166,767
po57,48197,5861
ccp48,48206,10843
ccp65,48251,4810
ccp66,48303,4413
ccp50,48318,10537
po65,48351,-92
po43,48357,11514
ccp64,48388,5283
pn23,48490,5100
ccp51,48508,9983
ccp70,48576,685
po68,48646,-601
po64,48703,336
ccp47,49378,11162
po44,49466,11163
pn21,49486,12191
ccp67,49694,4333
ccp36,50318,20009
ccp35,50323,19724
po33,51051,20225
ccp34,51076,20293
ccp74,51466,626
pn16,52808,20151
pn15,53036,20201
ccp31,56300,16361
po32,56494,17817
ccp33,56683,17876
ccp32,56810,17453
pn14,56822,17168
po30,56924,16593
po29,57048,16354
po31,57067,16813
